                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9489,                 4.3066,                  1.988,                0.36419,                0.26219,                0.22535,                0.11546,                 1.8308,                 5.9355,                 2.0139,             0.00032997,             0.00032997,             0.00032997
                      2,                 1.9333,                 3.6635,                 1.9584,                0.23513,                0.19689,                0.12217,                0.04664,                  2.067,                  5.975,                 2.1854,             0.00059763,             0.00059763,             0.00059763
                      3,                 1.9569,                 3.3224,                 1.9646,                0.29466,                0.14903,                0.09706,                0.04141,                 2.1765,                 6.3684,                 2.3441,              0.0007993,              0.0007993,              0.0007993
                      4,                 1.9142,                 3.0376,                  1.942,                0.25894,                0.34541,                0.21493,                0.09032,                 1.8486,                 4.5526,                 2.0716,               0.000703,               0.000703,               0.000703
                      5,                 1.9238,                  2.834,                 1.9433,                0.22468,                0.39426,                0.22585,                0.10824,                 1.7592,                 4.9647,                 1.9363,               0.000703,               0.000703,               0.000703
                      6,                 1.7981,                 2.6056,                 1.8664,                0.30801,                0.43138,                0.27212,                0.12326,                 1.8608,                 4.2112,                 1.9849,               0.000604,               0.000604,               0.000604
                      7,                 1.7272,                 2.4403,                 1.8293,                0.32593,                0.45424,                0.32139,                0.15838,                 1.6022,                 3.3488,                 1.7136,               0.000505,               0.000505,               0.000505
                      8,                 1.6706,                 2.2226,                 1.7615,                0.40878,                0.54367,                 0.3272,                0.17001,                 1.6014,                 3.0544,                  1.764,               0.000406,               0.000406,               0.000406
                      9,                 1.6126,                 2.1166,                 1.7059,                 0.4074,                0.59046,                0.35368,                0.18473,                 1.5745,                 2.9861,                  1.764,               0.000307,               0.000307,               0.000307
                     10,                 1.5555,                 1.9943,                 1.6518,                 0.4522,                0.57016,                0.36418,                0.19496,                 1.5052,                 2.8099,                 1.7536,               0.000208,               0.000208,               0.000208
